Comment;Description;Designator;Footprint;LibRef;Quantity
A looot of 3D printer parts;Preferably metal 3D printed;;;;1
Front wedge, blackened;as hard as you can. CNC steel + blackening;;;;1
steel Front and back, 1mm;laser cutting;;;;1
Ceiling, 2mm steel;added cute laser marks :);;;;1
4 layer PCB, main controller;;;;;1
4 layer PCB, motor driver;;;;;2
2 layer PCB, ir receiver;;;;;1
2 layer PCB, line sensors;;;;;4
A looooot of M3, M2.5, M2 screws;get a kit, will be cheaper lol;;;;1
Silicone shore 10A, 0.5Kg;for squishy and grippy wheeeeels;;;;1
lipo 2s, 550mAh battery;get it goin!;;;;2
pololu 37D with 19.4:1 gearboxes;you can get knockoffs from ali cheaper;;;;2
some RS380 dc motors;to power everything up;;;;2
Tfluna tof sensors;quick tof sensors, about 30 buck per piece;;;;4
Patience;priceless;;;;1
STM32 st-link v2;it costs about 3 bucks on ali, get one to program this thing;;;;1
TSOP57438TT1;Integrated Circuit;IC1;TSOP57438TT1;TSOP57438TT1;1
FTM-102-02-L-DV;Connector;J1;FTM-102-XX-Y-DV;FTM-102-02-L-DV;1
1uF;MLCC Capacitor;C1, C2, C5, C6, C7, C13, C14, C30, C36, C38, C40, C42, C44, C45, C46, C47, C48, C52, C54, C55, C58, C59, C62, C64, C65, C68;C 0402;Capacitor;26
100nF;MLCC Capacitor;C8, C10, C11, C12, C16, C17, C18, C19, C29, C31, C35A, C35B, C35C, C35D, C35E, C35F, C35G, C35H, C37, C39, C41, C43, C53, C56, C57, C60, C61, C63, C66, C67, C69;C 0402;Capacitor;31
10pF;MLCC Capacitor;C21, C22, C25A, C25B, C25C, C25D, C70A, C70B, C70C, C70D;C 0402;Capacitor;10
TL8B0336M020C (33uF tantalum cap);Capacitor Polarised;C23;CAPPC3528X100N;TL8B0336M020C;1
22uF;MLCC Capacitor;C24;C 0805;Capacitor;1
10uF;MLCC Capacitor;C26;C 0805;Capacitor;1
22uF 16V;MLCC Capacitor;C27, C32;C 0805;Capacitor;2
10uF 16v;MLCC Capacitor;C28, C34;C 0805;Capacitor;2
2.2uF;MLCC Capacitor;C49;C 0603;Capacitor;1
4.7uF;MLCC Capacitor;C50;C 0603;Capacitor;1
;Zener Diode sod523;D1, D2;SOD523;BZX585;2
BAS5202VH6327XTSA1;Schottky Diode;D3;SODFL1608X59N;BAS5202VH6327XTSA1;1
BAV199W-7;Diode;D4;SOT65P210X110-3N;BAV199W-7;1
1N4148WT-7;Diode;D5, D9, D10, D11;1N4148WT7;1N4148WT-7;4
LED BLUE;;D6, D_5V;LED 0603 BLUE;LED BLUE;2
LED RED;;D7, D_VCC;LED 0603 RED;LED RED;2
LED GREEN;;D8, D_3.3V;LED 0603 GREEN;LED GREEN;2
DF53-4S-0.6H;Connector;DIST1, DIST3, DIST4, DST2, FAN1, LIN2, LINE1, LINE3, LINE4, MAIN_DR1, MAIN_DR2, PROG_DR1, PROG_DR2;DF534S06H;DF53-4S-0.6H;13
4 PIN;;DR1, DR2, PROG;BM04B-SRSS-TB;4 PIN;3
banana_plug;banana plug for high current scenarios;GND, VCC;Banana plug 2mm-smol;banana_plug;2
STM32H562RIV6;Integrated Circuit;IC1;QFN40P800X800X100-69N-D;STM32H562RIV6;1
AZ1117CR2-3.3TRG1;Integrated Circuit;IC2;AZ1117CR33TRG1;AZ1117CR2-3.3TRG1;1
AP63203WU-7;Integrated Circuit;IC3;AP63203WU7;AP63203WU-7;1
AT24C02D-MAHM-E;Integrated Circuit;IC4;SON50P300X200X60-9N;AT24C02D-MAHM-E;1
LSM6DSV320XTR;Integrated Circuit;IC5;LSM6DSV16BXTR;LSM6DSV320XTR;1
TCAN1042VDRBTQ1;Integrated Circuit;IC6;SON65P300X300X100-9N-D;TCAN1042VDRBTQ1;1
TSOP57438TT1;Integrated Circuit;IC7;TSOP57438TT1;TSOP57438TT1;1
NOPE;Resistor;J1, J2;ERJ1GNF1000C;ERJ1GNJ103C;2
MLE-102-01-G-DV;Connector;J3, J4;MLE10201GDV - ir receiver;MLE-102-01-G-DV;2
22uH;General pourpouse inductor;L1;L 0805;Inductor;1
